Date,Open,High,Low,Close,Volume
2011-11-30,5.4321,5.4597,5.3124,5.34, 95922200
2011-11-29,5.3957,5.4692,5.3589,5.46, 75855200
2011-11-28,5.3792,5.3976,5.3424,5.37, 45728700
2011-11-25,5.3684,5.3868,5.3316,5.35, 34786700
2011-11-24,5.3256,5.4452,5.3164,5.39, 51537200
2011-11-23,5.4327,5.4695,5.3316,5.35, 60789000
2011-11-22,5.3572,5.4676, 5.348,5.44, 63403500
2011-11-21,5.4076, 5.426,5.3156,5.38, 59228900
2011-11-18,5.3908,5.4552,5.3724, 5.4, 71602400
2011-11-17,  5.43, 5.476,5.4208,5.43, 64313900
2011-11-16,5.5396, 5.558,5.4016,5.42,138317600
2011-11-15,5.6144,5.6144,5.5224,5.55, 90091700
2011-11-14,5.5924, 5.666, 5.574,5.62,121251100
2011-11-11,5.5976,5.6068, 5.524,5.57, 67537500
2011-11-10,5.5976,5.6529,5.5608,5.57, 98693800
2011-11-09,5.6516,  5.67, 5.578,5.67, 73262500
2011-11-08,5.6292,5.6752, 5.574,5.62, 99081200
2011-11-07,5.6736,5.7103,   5.6, 5.6, 95548300
2011-11-04,5.7384, 5.766,5.6464,5.72,109687000
2011-11-03,5.7913,5.8281,5.6808,5.69,208026300
2011-11-02,5.5399,5.7792,5.5215,5.77,188610900
2011-11-01,5.5924,5.7028,5.5832,5.62,134501800
2011-10-31,5.6476,5.6844,5.5924,5.62, 93523700
2011-10-28,5.6892,5.7721,5.6248,5.68,255505600
2011-10-26,5.5084,5.5728,5.4716,5.49,216276100
2011-10-25, 5.474,5.5292,5.4464,5.52,158053600
2011-10-24,5.3896,5.5184,5.3712, 5.5,200847300
2011-10-21,5.2872,5.4344,5.2413,5.37,134538000
2011-10-20,5.3068,5.3528,5.1964,5.27,116971100
2011-10-19,5.2932,5.3852,5.2932,5.33, 81615800
2011-10-18,5.3352,5.3996,5.2708,5.28, 94437300
2011-10-17, 5.334,5.4904,5.3064,5.38,126807300
2011-10-14,5.3216,5.3492,5.2479,5.34, 97231500
2011-10-13,5.2548,5.3376,5.2364,5.31,121875200
2011-10-12,5.0148,5.3552,4.9964, 5.3,231081200
2011-10-11, 5.142,5.1696,5.0132,5.05,123875400
2011-10-10, 5.062,5.0804, 4.924,4.97,126196300
2011-09-30, 5.172,5.2272, 5.034,5.08,157870400
2011-09-29,5.1048, 5.206,5.0588,5.16,125625800
2011-09-28,5.2127,5.2679,5.1116,5.13, 62603900
2011-09-27,5.1608,5.2436, 5.124,5.17, 88751300
2011-09-26,5.2121,5.2858,5.0832,5.12,106478400
2011-09-23,5.1872,  5.27,5.1504,5.27,127977100
2011-09-22,5.3979,5.4255,5.2232,5.26,153857700
2011-09-21,5.3127,5.4968,5.2666,5.46,152819100
2011-09-20,5.2448, 5.346,5.1988, 5.3, 76528600
2011-09-19,5.3035,5.3127,5.2208,5.23, 80234300
2011-09-16,5.3408,5.4327,5.3224,5.35, 78721100
2011-09-15,5.3928,5.4112,  5.31,5.31, 83803800
2011-09-14,   5.4,5.4184,5.2896, 5.4, 86567800
2011-09-13,5.3256,5.3992,5.2888,5.39, 87633600
2011-09-09,5.4828,5.5748,5.3448, 5.4,122971000
2011-09-08,5.5521,5.5613,5.4508,5.46, 72450400
2011-09-07,5.3728,  5.52,5.3728,5.52,124085900
2011-09-06,5.3132, 5.396, 5.304,5.35, 89278200
2011-09-05,  5.35,5.3868,5.2948,5.35, 98724800
2011-09-02,5.4728,5.5096,5.3532,5.39,132627700
2011-09-01,5.5184, 5.546, 5.454, 5.5,120928400
2011-08-31,5.4548,5.5376,5.4088,5.51,162730700
2011-08-30,5.4592,5.5881,5.4316,5.45,231977000
2011-08-29,5.4736,5.5104,5.3816, 5.4,280077200
2011-08-26,5.5448,5.6092,5.4713, 5.6,262620800
2011-08-25,5.3057,5.6092,5.2782, 5.6,403877500
2011-08-24,5.3244, 5.352,5.2508,5.26, 98638600
2011-08-23,5.1904, 5.356,5.1167,5.31,154069200
2011-08-22,5.1768,5.2319,5.1032,5.14, 91268100
2011-08-19,5.0896,5.2092,5.0343, 5.2,142103100
2011-08-18,5.2879,5.2879,5.1316,5.15,120158000
2011-08-17,5.3227,5.3595,5.2308,5.24,210117600
2011-08-16, 5.174,5.3121,5.1648,5.22,203682200
2011-08-15,4.9668,5.1876,4.9301,5.16,187132200
2011-08-12,4.9684,4.9776, 4.904,4.95, 82952000
2011-08-11,4.7537,4.9836,4.7353,4.91,125654600
2011-08-10, 4.902,4.9204,4.7824,4.81,103567200
2011-08-09,4.6797,4.8268,4.6521,4.79,143362900
2011-08-08,4.8337,4.9073,4.6863,4.76,117374400
2011-08-05,4.8408, 4.896,4.8224,4.85, 87183400
2011-08-04,4.9492, 4.986,4.9032,4.94, 39148500
2011-08-03, 4.884,4.9484,4.8656,4.93, 50753700
2011-08-02,4.9292,4.9568,4.8648,4.92, 69134100
2011-08-01,4.9792,5.0436, 4.924,4.97, 72483200
2011-07-29,4.9081,5.0919,4.8346,   5,126389300
2011-07-28,4.9543,4.9543,4.8624,4.89,116991900
2011-07-27,4.9724,5.0092,4.9449,   5, 63160500
2011-07-26,5.0092,5.0643,4.9632,   5, 71551100
2011-07-25,5.1479,5.1571,4.9916,5.01,135035300
2011-07-22,5.1976,5.2068,5.1516,5.17, 54496900
2011-07-21, 5.226,5.2444,5.1524,5.18, 92981100
2011-07-20,5.2752,5.2752,5.2016,5.22, 70972800
2011-07-19,5.2945,5.2945,5.2208,5.23, 68458100
2011-07-18,5.3352,5.3628,5.2708,5.28, 52444200
2011-07-15,5.2656,5.3484,5.2472,5.33, 95759800
2011-07-14,  5.28,5.2984,5.2432,5.28, 74952500
2011-07-13,5.2248,5.2984,5.2064,5.28, 97057300
2011-07-12, 5.256, 5.256,5.1732,5.21,115998900
2011-07-11,5.2792,5.2884,5.2332,5.27, 82072800
2011-07-08,  5.31,5.3652,5.2364,5.31,138291000
2011-07-07,5.3544, 5.428,5.2532,5.29,168365400
2011-07-06,5.3628, 5.372,5.2248,5.28,170186400
2011-07-05,5.3892,5.4628,5.3616,5.38,114349000
2011-07-04,5.2604,5.3892,5.2604,5.38,158321500
2011-07-01,5.2868,5.3052,5.2132,5.25,116692600
2011-06-30,5.2792,5.3712,5.2056,5.27,139470900
2011-06-29,5.4807,5.4807,5.2232,5.26,234755700
2011-06-28,5.5176,5.5544,5.4532,5.49, 80571200
2011-06-27,5.5132,5.6052,5.5132,5.55, 90659800
2011-06-24,5.3935,5.5684,5.3751,5.55,149438500
2011-06-23,5.3172,5.4184, 5.308, 5.4, 73894600
2011-06-22,5.3676,5.3768,5.3124,5.34, 57609200
2011-06-21,  5.35,5.3868, 5.304,5.35, 45708700
2011-06-20,5.3024,5.3852,5.2472,5.33, 93281900
2011-06-17,5.2892,5.3352,  5.28,5.28, 56250200
2011-06-16,5.3084,5.3268,5.2716,5.29, 50595900
2011-06-15,5.3384, 5.366,5.2832,5.32, 50549900
2011-06-14,5.2855, 5.396,5.2671,5.35, 79535700
2011-06-13,5.1512,5.2984, 5.142,5.28, 77366000
2011-06-10, 5.134,5.2168, 5.134,5.18, 52313600
2011-06-09,5.2127,5.2127,5.1208,5.13, 62017900
2011-06-08,5.3636,5.3636,5.2072,5.29, 88615800
2011-06-07,5.3032,5.3492,5.2756,5.34, 37912400
2011-06-03,5.2816,5.3276, 5.254, 5.3, 71893000
2011-06-02,5.4732,  5.51,5.2524,5.28,286674500
2011-06-01,5.5828,5.5828,5.4816, 5.5, 99379600
2011-05-31,5.4419,5.5984,5.4419,5.58,119363300
2011-05-30,5.3856, 5.496,5.3856,5.45, 76656800
2011-05-27,5.3572,5.4584,5.3387,5.44,123122900
2011-05-25,5.4329,5.4513,5.3408,5.35, 83489100
2011-05-24,5.4316,5.4684,5.4132,5.45, 77481200
2011-05-23,5.5588,5.5681, 5.384,5.43,161338900
2011-05-20,5.5616,5.6352,5.5432,5.58,123048800
2011-05-19,5.5508,5.6336,5.5232,5.56,128326300
2011-05-18,5.3836,5.5492,5.3836,5.54,134854500
2011-05-17,5.3532,5.4728, 5.298,5.39, 87123600
2011-05-16,5.4145,5.4789,  5.35,5.35, 95853400
2011-05-13,5.3679,5.4784,5.2943,5.46,157432500
2011-05-12,5.4292,5.4844,5.4108,5.42, 67581800
2011-05-11,5.4492,5.4952,5.4308,5.44, 65434200
2011-05-10,5.3771,5.4692,5.3587,5.46, 73420000
2011-05-09, 5.396,5.4511,5.3132,5.35,117867700
2011-05-06, 5.528,5.5464,5.3624,5.39,152138800
2011-05-05,5.4948,5.5592,5.4764,5.55,246987800
2011-05-03,5.6256,5.7268,5.5887,5.69,125674100
2011-04-29,  5.66,5.6784,5.4759,5.66,212040600
2011-04-28,5.7536,5.7905,5.6524,5.68,235294600
2011-04-27,5.6257,5.7452,5.6257,5.69,343873700
2011-04-26,5.5264,5.6092,5.5172, 5.6,175636100
2011-04-25, 5.484,5.5852, 5.484,5.53,150577300
2011-04-22,5.5116,5.5852, 5.484,5.53,136526600
2011-04-21,5.4816,5.5736,5.4632, 5.5,135445100
2011-04-20,5.4768,5.5505,5.4124,5.44,157075600
2011-04-19,5.5519,5.5979,5.4508,5.46,156902900
2011-04-18,  5.59,5.6544,5.5532,5.59,144267700
2011-04-15, 5.518,5.6284,5.4996,5.61,225815800
2011-04-14,5.5308,5.6228,5.5032,5.54,266416600
2011-04-13, 5.362,   5.5,5.3344, 5.5,158226700
2011-04-12,5.4352, 5.472, 5.334,5.38,170274100
2011-04-11,5.4684,5.5973,5.4316,5.45,286125600
2011-04-08,5.4508,5.4876, 5.414,5.46,133390200
2011-04-07,  5.46,5.5152,5.3681,5.46,242560700
2011-04-06,5.3405,5.5427,5.3405,5.46,391724600
2011-04-01,5.1382,5.3684,5.1198,5.35,304221600
2011-03-31, 5.186,5.2136,5.1124,5.14,159267400
2011-03-30,5.1816,5.2828,5.1264, 5.2,247087800
2011-03-29,5.0788,5.2536,5.0788,5.18,426410300
2011-03-28,4.9872,5.2264,4.9872,5.07,303037000
2011-03-25,4.8848,4.9676,4.8572,4.94,147270600
2011-03-24,4.8976,4.9068,4.8424,4.87, 49369400
2011-03-23, 4.844,4.9268,4.8347,4.89,123729000
2011-03-22, 4.768,4.8784,4.7311,4.86,178833500
2011-03-21,4.7776,4.8052,4.7316,4.75, 95194100
2011-03-18,4.7876,4.8337,4.7508,4.76, 65085300
2011-03-17,4.7684,4.7868,4.7408,4.75, 78328500
2011-03-16,4.7824,4.8192,4.7456,4.81, 74641000
2011-03-15,4.8352,4.8443,4.7157,4.78,144608300
2011-03-14,4.8224,4.8776,4.8224,4.85, 69732700
