symbol,percent,error
600620,0.015987,0.026207
600621,0.000000,0.037752
600622,0.000000,0.011354
600623,0.000000,0.035616
600624,0.000000,0.013656
600626,0.030103,0.013677
600628,-0.000475,0.030578
600629,0.000000,0.018022
600630,0.000000,0.011260
600631,NaN
600633,0.000000,0.047866
600634,0.000000,0.023231
600635,0.000000,0.018126
600636,0.027936,0.020177
600637,0.000000,0.026362
600638,0.000941,0.023892
600639,0.000000,0.029746
600640,0.000000,0.020060
600641,0.000000,0.021264
600642,0.017458,0.033051
600643,0.000000,0.010054
600644,0.018671,0.013246
600645,0.015077,0.019137
600647,0.010728,0.015476
600648,0.000000,0.014625
600649,0.000271,0.038139
600650,0.000000,0.017515
600651,0.000000,0.017612
600652,0.107694,0.029033
600653,0.000000,0.024471
600654,0.000000,0.011876
600655,0.003365,0.013482
600656,-0.002180,0.026637
600657,0.000000,0.010183
600658,0.000000,0.019518
600660,0.000000,0.034392
600661,0.000000,0.017244
600662,0.000000,0.038402
600663,0.000000,0.011728
600664,0.009854,0.025483
600665,0.000000,0.028775
600666,0.002235,0.008302
600667,0.000000,0.029158
600668,0.009796,0.020184
600671,0.000000,0.024377
600673,0.020111,0.017514
600674,0.008554,0.031714
600675,0.000000,0.021375
600676,0.000000,0.032546
600677,0.020016,0.027181
600678,0.000000,0.022288
600679,0.000000,0.009064
600680,0.000000,0.017334
600682,0.000000,0.048315
600683,-0.000496,0.019102
600684,0.000000,0.026152
600685,0.060850,0.011874
600686,0.000000,0.025808
600687,0.000000,0.007836
600688,0.004171,0.015966
600689,0.000000,0.014453
600690,0.025448,0.029023
600691,0.000000,0.022370
600692,0.001188,0.038064
600693,0.000000,0.030473
600694,0.000000,0.023799
600695,0.010134,0.009211
600696,0.015246,0.035287
600697,-0.000857,0.017467
600698,0.074117,0.060200
600699,-0.001485,0.016772
600701,0.000000,0.036309
600702,0.015528,0.016896
600703,0.030770,0.014073
600704,0.043460,0.025238
600706,0.000000,0.026045
600707,0.000000,0.029726
600708,0.000000,0.041839
600710,0.000000,0.010532
600711,0.000000,0.015142
600712,0.038271,0.018538
600713,0.005046,0.013019
600714,0.029949,0.015651
600715,0.009523,0.015984
600716,0.018800,0.019697
600717,0.000678,0.027980
600718,0.000000,0.018506
600719,-0.004624,0.011863
600720,0.021690,0.048501
600721,0.000000,0.053634
600722,0.000000,0.016484
600723,0.012954,0.021176
600724,0.015696,0.021778
600725,0.000000,0.025243
600726,0.000000,0.024335
600727,0.000000,0.011507
600728,-0.002423,0.017331
600729,-0.000031,0.014035
600730,0.000000,0.016837
600731,0.004056,0.017205
600732,0.000000,0.012808
600733,0.000000,0.010581
600734,0.013452,0.022693
600735,0.023892,0.014530
600736,0.010659,0.015887
600737,0.000000,0.057594
600738,0.000000,0.031077
600739,0.071958,0.029331
600740,0.072167,0.040989
600741,0.050843,0.036556
600742,0.054690,0.060675
600743,0.045320,0.027076
600744,0.000000,0.017477
600745,0.040595,0.023636
600746,0.000000,0.019260
600747,0.006651,0.019259
600748,0.000000,0.042509
600749,0.000000,0.008735
600750,0.000000,0.034160
600751,0.000000,0.015796
600753,0.000000,0.018250
600754,-0.013831,0.027062
600755,0.015058,0.011709
600756,0.056096,0.019294
600757,0.030173,0.018752
600758,0.000000,0.024432
600759,0.033087,0.011911
600760,-0.000909,0.007582
600761,0.011255,0.019009
600763,0.000000,0.016419
600764,0.000000,0.016629
600765,0.000000,0.036527
600766,0.023981,0.021961
600767,0.027088,0.020341
600768,0.055748,0.036653
600769,0.000000,0.065062
600770,-0.001155,0.029070
600771,0.000000,0.029961
600773,0.070682,0.039060
600774,0.000000,0.022567
600775,0.000000,0.033402
